Last_catch_date,Round_weight,Gross_weight,Product_weight
2013-04-01,204111.80124473572,102287.40051269531,98580.80072021484
2013-04-02,75315.60126912594,57369.400390625,57144.0
2013-04-03,449278.0959227085,236330.39980316162,228560.19980430603
2013-04-04,152190.09779465199,121559.79985332489,120186.69999980927
2013-04-05,445655.10110270977,310955.4013557434,309613.3999519348
2013-04-06,382593.7937322855,278759.4012451172,276724.0
2013-04-07,439120.89866411686,320059.5,320059.5
2013-04-08,154970.3017617464,121729.2003941536,120684.8000035286
2013-04-09,527106.1901158094,399686.80200338364,388353.5000014305
2013-04-10,218781.70232391357,167439.89999985695,167352.89999985695
2013-04-11,154641.90062999725,287160.50000071526,135780.50000071526
2013-04-12,87134.30032992363,74344.30002498627,74172.9000005722
2013-04-13,468865.2933305502,284193.0996398926,279642.09899902344
2013-04-14,297900.5035587549,232037.203125,228046.0
2013-04-15,216455.3000152111,174643.30000066757,174643.30000066757
2013-04-16,624134.9996496439,471374.8001937866,471166.5999984741
2013-04-17,341124.6032601595,268591.699999094,268571.699999094
2013-04-18,128323.69909703732,101250.99999928474,101250.99999928474
2013-04-19,229769.39713919163,180000.69960784912,179570.09999847412
2013-04-20,192466.80003356934,138379.5,138132.0
2013-04-21,98478.70022439957,79335.10021972656,79122.0
2013-04-22,182027.79923164845,138498.0000514984,137692.39996910095
2013-04-23,202879.80156981945,173385.00087928772,172828.60000038147
2013-04-24,88309.99931335449,73407.19960927963,72949.59999990463
2013-04-25,129369.49949455261,107628.90000009537,107628.90000009537
2013-04-26,206514.90012848377,161526.1997566223,161012.600025177
2013-04-27,125987.40204262733,103300.90029144287,102512.0
2013-04-28,96103.20051324368,66681.3998413086,66164.0
2013-04-29,240522.39858698845,208675.40000116825,179053.40000116825
2013-04-30,323496.6999826431,250932.40000003576,250932.40000003576
2013-05-01,347240.69599318504,248990.40000009537,248990.40000009537
2013-05-02,239443.00055515766,210963.0,210963.0
2013-05-03,234425.59927856922,196262.20009803772,196058.60000038147
2013-05-04,120347.29972982407,86756.0,86756.0
2013-05-05,184428.0010434389,90752.80137634277,87778.10018920898
2013-05-06,408096.7027887106,365129.8005859852,364487.7000000477
2013-05-07,302064.6012928486,251978.69970703125,251616.0
2013-05-08,222845.50008308887,182062.90000009537,182062.90000009537
2013-05-09,111019.1974492073,83041.39970779419,81470.20000076294
2013-05-10,194830.5032737255,143180.09999990463,143180.09999990463
2013-05-11,763343.7985622883,542825.0,542825.0
2013-05-12,196265.10045456886,127409.80078125,126996.0
